"b'18\t  508\n'"
"b'748019\t  113\t  500\n'"
"b'749070\t  105\t  492\n'"
"b'750120\t  111\t  505\n'"
"b'751171\t  113\t  505\n'"
"b'752222\t  112\t  508\n'"
"b'753272\t  114\t  515\n'"
"b'754323\t  114\t  530\n'"
"b'755373\t  111\t  534\n'"
"b'756423\t  111\t  533\n'"
"b'757474\t  109\t  534\n'"
"b'758524\t  119\t  539\n'"
"b'759575\t  116\t  537\n'"
"b'760626\t  117\t  537\n'"
"b'761676\t  116\t  538\n'"
"b'762727\t  114\t  538\n'"
"b'763777\t  117\t  542\n'"
"b'764827\t  116\t  542\n'"
"b'765878\t  114\t  539\n'"
"b'766928\t  116\t  541\n'"
"b'767979\t  111\t  539\n'"
"b'769030\t  121\t  543\n'"
"b'770080\t  122\t  545\n'"
"b'771131\t  115\t  542\n'"
"b'772180\t  116\t  539\n'"
"b'773231\t  119\t  545\n'"
"b'774282\t  118\t  543\n'"
"b'775332\t  117\t  551\n'"
"b'776383\t  117\t  547\n'"
"b'777434\t  120\t  547\n'"
"b'778484\t  121\t  539\n'"
"b'779535\t  115\t  541\n'"
"b'780584\t  115\t  539\n'"
"b'781635\t  119\t  544\n'"
"b'782686\t  119\t  546\n'"
"b'783736\t  120\t  540\n'"
"b'784787\t  117\t  544\n'"
"b'785838\t  117\t  537\n'"
"b'786888\t  126\t  547\n'"
"b'787939\t  119\t  532\n'"
"b'788988\t  117\t  536\n'"
"b'790039\t  117\t  536\n'"
"b'791090\t  123\t  539\n'"
"b'792140\t  124\t  533\n'"
"b'793191\t  117\t  535\n'"
"b'794242\t  120\t  531\n'"
"b'795292\t  119\t  532\n'"
